00:01:7E,ADTEK
00:01:7F,Experience
00:01:80,AOpen,
00:01:81,Nortel
00:01:82,DICA
00:01:83,ANITE
00:01:84,SIEB
00:01:85,Hitachi
00:01:86,Uwe
00:01:87,I2SE
00:01:88,LXCO
00:01:89,Refraction
00:01:8A,ROI
00:01:8B,NetLinks
00:01:8C,Mega
00:01:8D,AudeSi
00:01:8E,Logitec
00:01:8F,Kenetec,
00:01:90,SMK-M
00:01:91,SYRED
00:01:92,Texas
00:01:93,Hanbyul
00:01:94,Capital
00:01:95,Sena
00:01:96,CISCO
00:01:97,CISCO
00:01:98,Darim
00:01:99,HeiSei
00:01:9A,LEUNIG
00:01:9B,Kyoto
00:01:9C,JDS
00:01:9D,E-Control
00:01:9E,ESS
00:01:9F,ReadyNet
00:01:A0,Infinilink
00:01:A1,Mag-Tek,
00:01:A2,Logical
00:01:A3,GENESYS
00:01:A4,Microlink
00:01:A5,Nextcomm,
00:01:A6,Scientific-Atlanta
00:01:A7,UNEX
00:01:A8,Welltech
00:01:A9,BMW
00:01:AA,Airspan
00:01:AB,Main
00:01:AC,Sitara
00:01:AD,Coach
00:01:AE,Trex
00:01:AF,Artesyn
00:01:B0,Fulltek
00:01:B1,General
00:01:B2,Digital
00:01:B3,Precision
00:01:B4,Wayport,
00:01:B5,Turin
00:01:B6,SAEJIN
00:01:B7,Centos,
00:01:B8,Netsensity,
00:01:B9,SKF
00:01:BA,IC-Net,
00:01:BB,Frequentis
00:01:BC,Brains
00:01:BD,Peterson
00:01:BE,Gigalink
00:01:BF,Teleforce
00:01:C0,CompuLab,
00:01:C1,Vitesse
00:01:C2,ARK
00:01:C3,Acromag,
00:01:C4,NeoWave,
00:01:C5,Simpler
00:01:C6,Quarry
00:01:C7,CISCO
00:01:C8,THOMAS
00:01:C8,CONRAD
00:01:C9,CISCO
00:01:CA,Geocast
00:01:CB,EVR
00:01:CC,Japan
00:01:CD,ARtem
00:01:CE,Custom
00:01:CF,Alpha
00:01:D0,VitalPoint,
00:01:D1,CoNet
00:01:D2,inXtron,
00:01:D3,PAXCOMM,
00:01:D4,Leisure
00:01:D5,HAEDONG
00:01:D6,manroland
00:01:D7,F5
00:01:D8,Teltronics,
00:01:D9,Sigma,
00:01:DA,WINCOMM
00:01:DB,Freecom
00:01:DC,Activetelco
00:01:DD,Avail
00:01:DE,Trango
00:01:DF,ISDN
00:01:E0,Fast
00:01:E1,Kinpo
00:01:E2,Ando
00:01:E3,Siemens
00:01:E4,Sitera,
00:01:E5,Supernet,
00:01:E6,Hewlett-Packard
00:01:E7,Hewlett-Packard
00:01:E8,Force10
00:01:E9,Litton
00:01:EA,Cirilium
00:01:EB,C-COM
00:01:EC,Ericsson
00:01:ED,SETA
00:01:EE,Comtrol
00:01:EF,Camtel
00:01:F0,Tridium,
00:01:F1,Innovative
00:01:F2,Mark
00:01:F3,QPS,
00:01:F4,Enterasys
00:01:F5,ERIM
00:01:F6,Association
00:01:F7,Image
00:01:F8,Texio
00:01:F9,TeraGlobal
00:01:FA,HOROSCAS
00:01:FB,DoTop
00:01:FC,Keyence
00:01:FD,Digital
00:01:FE,DIGITAL
00:01:FF,Data
00:02:00,Net
00:02:01,IFM
00:02:02,Amino
00:02:03,Woonsang
00:02:04,Bodmann
00:02:05,Hitachi
00:02:06,Telital
00:02:07,VisionGlobal
00:02:08,Unify
00:02:09,Shenzhen
00:02:0A,Gefran
00:02:0B,Native
00:02:0C,Metro-Optix
00:02:0D,Micronpc.com
00:02:0E,ECI
00:02:0F,AATR
00:02:10,Fenecom
00:02:11,Nature
00:02:12,SierraCom
00:02:13,S.D.E.L.
00:02:14,DTVRO
00:02:15,Cotas
00:02:16,CISCO
00:02:17,CISCO
00:02:18,Advanced
00:02:19,Paralon
00:02:1A,Zuma
00:02:1B,Kollmorgen-Servotronix
00:02:1C,Network
00:02:1D,Data
00:02:1E,SIMTEL
00:02:1F,Aculab
00:02:20,CANON
00:02:21,DSP
00:02:22,Chromisys,
00:02:23,ClickTV
00:02:24,C-COR
00:02:25,One
00:02:26,XESystems,
00:02:27,ESD
00:02:28,Necsom,
00:02:29,Adtec
00:02:2A,Asound
00:02:2B,SAXA,
00:02:2C,ABB
00:02:2D,Agere
00:02:2E,TEAC
00:02:2F,P-Cube,
00:02:30,Intersoft
00:02:31,Ingersoll-Rand
00:02:32,Avision,
00:02:33,Mantra
00:02:34,Imperial
00:02:35,Paragon
00:02:36,INIT
00:02:37,Cosmo
00:02:38,Serome
00:02:39,Visicom
00:02:3A,ZSK
00:02:3B,Ericsson
00:02:3C,Creative
00:02:3D,Cisco
00:02:3E,Selta
00:02:3F,Compal
00:02:40,Seedek
00:02:41,Amer.com
00:02:42,Videoframe
00:02:43,Raysis
00:02:44,SURECOM
00:02:45,Lampus
00:02:46,All-Win
00:02:47,Great
00:02:48,Pilz
00:02:49,Aviv
00:02:4A,CISCO
00:02:4B,CISCO
00:02:4C,SiByte,
00:02:4D,Mannesman
00:02:4E,Datacard
00:02:4F,IPM
00:02:50,Geyser
00:02:51,Soma
00:02:52,Carrier
00:02:53,Televideo,
00:02:54,WorldGate
00:02:55,IBM
00:02:56,Alpha
00:02:57,Microcom
00:02:58,Flying
00:02:59,Tsann
00:02:5A,Catena
00:02:5B,Cambridge
00:02:5C,SCI
00:02:5D,Calix
00:02:5E,High
00:02:5F,Nortel
00:02:60,Accordion
00:02:61,Tilgin
00:02:62,Soyo
00:02:63,UPS
00:02:64,AudioRamp.com
00:02:65,Virditech
00:02:66,Thermalogic
00:02:67,NODE
00:02:68,Harris
00:02:69,Nadatel
00:02:6A,Cocess
00:02:6B,BCM
00:02:6C,Philips
00:02:6D,Adept
00:02:6E,NeGeN
00:02:6F,Senao
00:02:70,Crewave
00:02:71,Zhone
00:02:72,CC&C
00:02:73,Coriolis
00:02:74,Tommy
00:02:75,SMART
00:02:76,Primax
00:02:77,Cash
00:02:78,Samsung
00:02:79,Control
00:02:7A,IOI
00:02:7B,Amplify
00:02:7C,Trilithic,
00:02:7D,CISCO
00:02:7E,CISCO
00:02:7F,ask-technologies.com
00:02:80,Mu
00:02:81,Madge
00:02:82,ViaClix,
00:02:83,Spectrum
00:02:84,AREVA
00:02:85,Riverstone
00:02:86,Occam
00:02:87,Adapcom
00:02:88,GLOBAL
00:02:89,DNE
00:02:8A,Ambit
00:02:8B,VDSL
00:02:8C,Micrel-Synergy
00:02:8D,Movita
00:02:8E,Rapid
00:02:8F,Globetek,
00:02:90,Woorigisool,
00:02:91,Open
00:02:92,Logic
00:02:93,Solid
00:02:94,Tokyo
00:02:95,IP.Access
00:02:96,Lectron
00:02:97,C-COR.net
00:02:98,Broadframe
00:02:99,Apex,
00:02:9A,Storage
00:02:9B,Kreatel
00:02:9C,3COM
00:02:9D,Merix
00:02:9E,Information
00:02:9F,L-3
00:02:A0,Flatstack
00:02:A1,World
00:02:A2,Hilscher
00:02:A3,ABB
00:02:A4,AddPac
00:02:A5,Hewlett-Packard
00:02:A6,Effinet
00:02:A7,Vivace
00:02:A8,Air
00:02:A9,RACOM,
00:02:AA,PLcom
00:02:AB,CTC
00:02:AC,3PAR
00:02:AD,HOYA
00:02:AE,Scannex
00:02:AF,TeleCruz
00:02:B0,Hokubu
00:02:B1,Anritsu,
00:02:B2,Cablevision
00:02:B3,Intel
00:02:B4,DAPHNE
00:02:B5,Avnet,
00:02:B6,Acrosser
00:02:B7,Watanabe
00:02:B8,WHI
00:02:B9,CISCO
00:02:BA,CISCO
00:02:BB,Continuous
00:02:BC,LVL
00:02:BD,Bionet
00:02:BE,Totsu
